# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# 279         6.574       52.750      15.80       Hoogeveen   
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# STN,YYYYMMDD,   TG
  260,20230808,  159
  260,20230809,  162
  260,20230810,  178
  260,20230811,  209
  260,20230812,  195
  260,20230813,  180
  260,20230814,  195
  260,20230815,  186
  260,20230816,  187
  260,20230817,  181
  260,20230818,  210
  260,20230819,  218
  260,20230820,  198
  260,20230821,  197
  260,20230822,  182
  260,20230823,  188
  260,20230824,  205
  260,20230825,  192
  260,20230826,  159
  260,20230827,  150
  260,20230828,  158
  260,20230829,  141
  260,20230830,  139
  260,20230831,  152
  260,20230901,  159
  260,20230902,  165
  260,20230903,  161
  260,20230904,  178
  260,20230905,  210
  260,20230906,  217
  260,20230907,  207
  260,20230908,  216
  260,20230909,  207
  260,20230910,  233
  260,20230911,  220
  260,20230912,  197
  260,20230913,  166
  260,20230914,  141
  260,20230915,  149
  260,20230916,  181
  260,20230917,  166
  260,20230918,  186
  260,20230919,  166
  260,20230920,  185
  260,20230921,  155
  260,20230922,  140
  260,20230923,  134
  260,20230924,  139
  260,20230925,  158
  260,20230926,  159
  260,20230927,  174
  260,20230928,  170
  260,20230929,  158
  260,20230930,  147
  260,20231001,  176
  260,20231002,  182
  260,20231003,  159
  260,20231004,  146
  260,20231005,  154
  260,20231006,  161
  260,20231007,  181
  260,20231008,  150
  260,20231009,  176
  260,20231010,  174
  260,20231011,  174
  260,20231012,  155
  260,20231013,  178
  260,20231014,  109
  260,20231015,   75
  260,20231016,   88
  260,20231017,   84
  260,20231018,   94
  260,20231019,  150
  260,20231020,  116
  260,20231021,  130
  260,20231022,  113
  260,20231023,  105
  260,20231024,  114
  260,20231025,   92
  260,20231026,   94
  260,20231027,  104
  260,20231028,  118
  260,20231029,  128
  260,20231030,  110
  260,20231031,  110
  260,20231101,  122
  260,20231102,  109
  260,20231103,   95
  260,20231104,   94
  260,20231105,  104
  260,20231106,   98
  260,20231107,   96
  260,20231108,   93
  260,20231109,   94
  260,20231110,   74
  260,20231111,   75
  260,20231112,   53
  260,20231113,  102
  260,20231114,  119
  260,20231115,  110
  260,20231116,   68
  260,20231117,   51
  260,20231118,   83
  260,20231119,  124
  260,20231120,   98
  260,20231121,   72
  260,20231122,   46
  260,20231123,  112
  260,20231124,   64
  260,20231125,   50
  260,20231126,   50
  260,20231127,   42
  260,20231128,   21
  260,20231129,   24
  260,20231130,   -3
  260,20231201,  -12
  260,20231202,   -4
  260,20231203,    8
  260,20231204,   18
  260,20231205,   18
  260,20231206,   25
  260,20231207,    3
  260,20231208,   54
  260,20231209,   81
  260,20231210,   97
  260,20231211,   92
  260,20231212,   80
  260,20231213,   82
  260,20231214,   56
  260,20231215,   84
  260,20231216,   87
  260,20231217,   86
  260,20231218,   75
  260,20231219,   79
  260,20231220,   86
  260,20231221,   98
  260,20231222,   90
  260,20231223,  103
  260,20231224,  116
  260,20231225,  116
  260,20231226,   76
  260,20231227,   70
  260,20231228,  109
  260,20231229,   93
  260,20231230,   81
  260,20231231,   88
  279,20230101,  122
  279,20230102,   84
  279,20230103,   51
  279,20230104,  108
  279,20230105,   97
  279,20230106,   92
  279,20230107,  101
  279,20230108,   79
  279,20230109,   61
  279,20230110,   63
  279,20230111,   93
  279,20230112,  100
  279,20230113,   80
  279,20230114,   75
  279,20230115,   55
  279,20230116,   39
  279,20230117,   15
  279,20230118,   10
  279,20230119,   24
  279,20230120,    2
  279,20230121,   -2
  279,20230122,    8
  279,20230123,   25
  279,20230124,   16
  279,20230125,  -10
  279,20230126,   31
  279,20230127,   33
  279,20230128,   23
  279,20230129,   38
  279,20230130,   61
  279,20230131,   58
  279,20230201,   62
  279,20230202,   66
  279,20230203,   82
  279,20230204,   54
  279,20230205,   54
  279,20230206,   30
  279,20230207,   -3
  279,20230208,    2
  279,20230209,   15
  279,20230210,   41
  279,20230211,   76
  279,20230212,   66
  279,20230213,   58
  279,20230214,   37
  279,20230215,   41
  279,20230216,   72
  279,20230217,   98
  279,20230218,   98
  279,20230219,   68
  279,20230220,   83
  279,20230221,   90
  279,20230222,   78
  279,20230223,   61
  279,20230224,   43
  279,20230225,   31
  279,20230226,   12
  279,20230227,   18
  279,20230228,   26
  279,20230301,   15
  279,20230302,   20
  279,20230303,   41
  279,20230304,   51
  279,20230305,   34
  279,20230306,   33
  279,20230307,   22
  279,20230308,    1
  279,20230309,   11
  279,20230310,    5
  279,20230311,   10
  279,20230312,   50
  279,20230313,  122
  279,20230314,   59
  279,20230315,   40
  279,20230316,   67
  279,20230317,  111
  279,20230318,  112
  279,20230319,  101
  279,20230320,   82
  279,20230321,  101
  279,20230322,  105
  279,20230323,  123
  279,20230324,  110
  279,20230325,   88
  279,20230326,   56
  279,20230327,   33
  279,20230328,   45
  279,20230329,   91
  279,20230330,  126
  279,20230331,  103
  279,20230401,   86
  279,20230402,   46
  279,20230403,   36
  279,20230404,   38
  279,20230405,   40
  279,20230406,   59
  279,20230407,   76
  279,20230408,   68
  279,20230409,   93
  279,20230410,  104
  279,20230411,   82
  279,20230412,   82
  279,20230413,   75
  279,20230414,   85
  279,20230415,   70
  279,20230416,   99
  279,20230417,  102
  279,20230418,   91
  279,20230419,   91
  279,20230420,   86
  279,20230421,  130
  279,20230422,  115
  279,20230423,  116
  279,20230424,   84
  279,20230425,   58
  279,20230426,   50
  279,20230427,   69
  279,20230428,  100
  279,20230429,  106
  279,20230430,  101
  279,20230501,  120
  279,20230502,   77
  279,20230503,   77
  279,20230504,  129
  279,20230505,  133
  279,20230506,  138
  279,20230507,  141
  279,20230508,  153
  279,20230509,  153
  279,20230510,  132
  279,20230511,  128
  279,20230512,  154
  279,20230513,  154
  279,20230514,  146
  279,20230515,  119
  279,20230516,  100
  279,20230517,   85
  279,20230518,   94
  279,20230519,  131
  279,20230520,  149
  279,20230521,  175
  279,20230522,  176
  279,20230523,  113
  279,20230524,  108
  279,20230525,  110
  279,20230526,  106
  279,20230527,  138
  279,20230528,  145
  279,20230529,  116
  279,20230530,  121
  279,20230531,  145
  279,20230601,  117
  279,20230602,  147
  279,20230603,  149
  279,20230604,  144
  279,20230605,  140
  279,20230606,  145
  279,20230607,  148
  279,20230608,  163
  279,20230609,  205
  279,20230610,  212
  279,20230611,  236
  279,20230612,  222
  279,20230613,  205
  279,20230614,  196
  279,20230615,  197
  279,20230616,  189
  279,20230617,  190
  279,20230618,  216
  279,20230619,  209
  279,20230620,  218
  279,20230621,  208
  279,20230622,  189
  279,20230623,  199
  279,20230624,  212
  279,20230625,  241
  279,20230626,  192
  279,20230627,  168
